M,ef_construction,ef_search,build_time_s,avg_query_ms,std_query_ms,recall,std_recall
16,200,200,24.06719708442688,2.3897624015808105,0.36506197058408346,0.7390000000000001,0.2497578827584827
16,200,400,28.84533953666687,4.170670509338379,0.560992235009366,0.8930000000000001,0.15508384828859514
16,400,200,44.467822313308716,2.3022985458374023,0.2834206701346873,0.5569999999999999,0.27027948497805004
16,400,400,44.00013756752014,3.537778854370117,0.3214344101159628,0.4409999999999999,0.2518312927338459
32,200,200,28.390374660491943,2.976064682006836,0.5511796389567514,0.878,0.16827358675680507
32,200,400,28.974827527999878,4.4782185554504395,0.6363026667211136,0.8930000000000001,0.15508384828859514
32,400,200,53.757256507873535,3.1555891036987305,0.6251062507089074,0.998,0.014
32,400,400,51.93746328353882,4.81022834777832,0.7175640966904598,0.965,0.07664854858377947
64,200,200,30.717905521392822,3.1714844703674316,1.0220336136162012,0.9630000000000001,0.08081460264085939
64,200,400,27.41844606399536,4.260241985321045,0.5737925156283834,0.8530000000000001,0.18245821439441964
64,400,200,43.689512968063354,2.692420482635498,0.45005097852882375,0.755,0.23806511714234826
64,400,400,52.915961027145386,4.790012836456299,0.7105516965075475,0.9990000000000001,0.009949874371066194
